DATE,CPIHOSSL
1979-01-01,65.700
1979-02-01,66.500
1979-03-01,67.000
1979-04-01,67.700
1979-05-01,68.400
1979-06-01,69.300
1979-07-01,70.200
1979-08-01,71.200
1979-09-01,72.100
1979-10-01,73.100
1979-11-01,74.200
1979-12-01,75.200
1980-01-01,76.200
1980-02-01,77.200
1980-03-01,78.300
1980-04-01,79.400
1980-05-01,80.500
1980-06-01,82.000
1980-07-01,81.500
1980-08-01,81.800
1980-09-01,82.300
1980-10-01,83.400
1980-11-01,84.400
1980-12-01,85.500
1981-01-01,86.100
1981-02-01,86.600
1981-03-01,87.100
1981-04-01,87.800
1981-05-01,88.800
1981-06-01,89.800
1981-07-01,91.300
1981-08-01,92.200
1981-09-01,93.400
1981-10-01,93.400
1981-11-01,93.800
1981-12-01,94.100
1982-01-01,94.400
1982-02-01,94.700
1982-03-01,94.600
1982-04-01,95.400
1982-05-01,96.700
1982-06-01,97.700
1982-07-01,98.100
1982-08-01,98.400
1982-09-01,98.200
1982-10-01,98.600
1982-11-01,98.300
1982-12-01,97.500
1983-01-01,98.000
1983-02-01,98.200
1983-03-01,98.300
1983-04-01,98.900
1983-05-01,99.100
1983-06-01,99.300
1983-07-01,99.700
1983-08-01,99.800
1983-09-01,100.100
1983-10-01,100.400
1983-11-01,100.800
1983-12-01,101.000
1984-01-01,101.500
1984-02-01,102.100
1984-03-01,102.300
1984-04-01,102.900
1984-05-01,103.100
1984-06-01,103.300
1984-07-01,103.900
1984-08-01,104.200
1984-09-01,104.700
1984-10-01,104.900
1984-11-01,105.100
1984-12-01,105.300
1985-01-01,105.500
1985-02-01,106.000
1985-03-01,106.400
1985-04-01,106.700
1985-05-01,107.400
1985-06-01,107.600
1985-07-01,107.900
1985-08-01,108.300
1985-09-01,108.500
1985-10-01,108.900
1985-11-01,109.500
1985-12-01,109.800
1986-01-01,110.100
1986-02-01,110.000
1986-03-01,110.300
1986-04-01,110.400
1986-05-01,110.400
1986-06-01,110.900
1986-07-01,110.900
1986-08-01,111.100
1986-09-01,111.500
1986-10-01,111.600
1986-11-01,111.600
1986-12-01,111.900
1987-01-01,112.300
1987-02-01,112.700
1987-03-01,113.000
1987-04-01,113.500
1987-05-01,113.800
1987-06-01,114.100
1987-07-01,114.300
1987-08-01,114.900
1987-09-01,115.200
1987-10-01,115.500
1987-11-01,115.800
1987-12-01,116.100
1988-01-01,116.400
1988-02-01,116.800
1988-03-01,117.200
1988-04-01,117.600
1988-05-01,117.900
1988-06-01,118.300
1988-07-01,118.600
1988-08-01,119.000
1988-09-01,119.500
1988-10-01,119.900
1988-11-01,120.200
1988-12-01,120.600
1989-01-01,120.900
1989-02-01,121.100
1989-03-01,121.500
1989-04-01,121.900
1989-05-01,122.300
1989-06-01,122.700
1989-07-01,123.300
1989-08-01,123.700
1989-09-01,123.800
1989-10-01,124.500
1989-11-01,124.900
1989-12-01,125.400
1990-01-01,126.100
1990-02-01,126.200
1990-03-01,126.800
1990-04-01,127.100
1990-05-01,127.300
1990-06-01,128.100
1990-07-01,128.700
1990-08-01,129.700
1990-09-01,130.200
1990-10-01,130.600
1990-11-01,130.800
1990-12-01,131.000
1991-01-01,132.000
1991-02-01,132.400
1991-03-01,132.600
1991-04-01,132.700
1991-05-01,133.100
1991-06-01,133.200
1991-07-01,133.600
1991-08-01,133.800
1991-09-01,134.300
1991-10-01,134.700
1991-11-01,135.200
1991-12-01,135.600
1992-01-01,135.900
1992-02-01,136.100
1992-03-01,136.400
1992-04-01,136.700
1992-05-01,136.900
1992-06-01,137.400
1992-07-01,137.700
1992-08-01,137.900
1992-09-01,138.100
1992-10-01,138.600
1992-11-01,139.000
1992-12-01,139.200
1993-01-01,139.600
1993-02-01,139.600
1993-03-01,140.000
1993-04-01,140.600
1993-05-01,140.800
1993-06-01,141.200
1993-07-01,141.300
1993-08-01,141.700
1993-09-01,142.000
1993-10-01,142.300
1993-11-01,142.600
1993-12-01,143.000
1994-01-01,143.200
1994-02-01,143.700
1994-03-01,144.100
1994-04-01,144.000
1994-05-01,144.400
1994-06-01,144.600
1994-07-01,144.800
1994-08-01,145.300
1994-09-01,145.500
1994-10-01,145.700
1994-11-01,146.000
1994-12-01,146.000
1995-01-01,146.600
1995-02-01,146.900
1995-03-01,147.200
1995-04-01,147.600
1995-05-01,147.900
1995-06-01,148.200
1995-07-01,148.600
1995-08-01,149.000
1995-09-01,149.200
1995-10-01,149.800
1995-11-01,150.000
1995-12-01,150.300
1996-01-01,150.900
1996-02-01,151.200
1996-03-01,151.600
1996-04-01,151.900
1996-05-01,152.300
1996-06-01,152.400
1996-07-01,153.000
1996-08-01,153.400
1996-09-01,153.700
1996-10-01,154.000
1996-11-01,154.400
1996-12-01,154.700
1997-01-01,155.300
1997-02-01,155.700
1997-03-01,155.700
1997-04-01,156.000
1997-05-01,156.200
1997-06-01,156.600
1997-07-01,156.900
1997-08-01,157.100
1997-09-01,157.500
1997-10-01,157.800
1997-11-01,158.300
1997-12-01,158.400
1998-01-01,158.700
1998-02-01,158.800
1998-03-01,159.200
1998-04-01,159.600
1998-05-01,160.000
1998-06-01,160.200
1998-07-01,160.500
1998-08-01,160.800
1998-09-01,161.100
1998-10-01,161.500
1998-11-01,161.900
1998-12-01,162.200
1999-01-01,162.200
1999-02-01,162.400
1999-03-01,162.700
1999-04-01,163.100
1999-05-01,163.300
1999-06-01,163.600
1999-07-01,164.000
1999-08-01,164.300
1999-09-01,164.900
1999-10-01,165.100
1999-11-01,165.500
1999-12-01,165.700
2000-01-01,166.500
2000-02-01,167.300
2000-03-01,167.700
2000-04-01,167.900
2000-05-01,168.300
2000-06-01,169.200
2000-07-01,169.900
2000-08-01,170.200
2000-09-01,171.100
2000-10-01,171.800
2000-11-01,172.200
2000-12-01,172.800
2001-01-01,174.500
2001-02-01,174.900
2001-03-01,175.300
2001-04-01,175.400
2001-05-01,176.100
2001-06-01,176.800
2001-07-01,176.800
2001-08-01,177.100
2001-09-01,177.000
2001-10-01,176.900
2001-11-01,177.500
2001-12-01,177.900
2002-01-01,178.300
2002-02-01,178.700
2002-03-01,179.000
2002-04-01,179.500
2002-05-01,179.800
2002-06-01,180.000
2002-07-01,180.200
2002-08-01,180.700
2002-09-01,181.100
2002-10-01,181.500
2002-11-01,182.000
2002-12-01,182.300
2003-01-01,182.900
2003-02-01,183.400
2003-03-01,184.200
2003-04-01,184.000
2003-05-01,184.600
2003-06-01,184.600
2003-07-01,184.900
2003-08-01,185.200
2003-09-01,185.500
2003-10-01,185.900
2003-11-01,186.000
2003-12-01,186.400
2004-01-01,186.900
2004-02-01,187.100
2004-03-01,187.700
2004-04-01,188.300
2004-05-01,188.900
2004-06-01,189.500
2004-07-01,189.900
2004-08-01,190.300
2004-09-01,190.800
2004-10-01,191.200
2004-11-01,191.800
2004-12-01,192.100
2005-01-01,192.300
2005-02-01,193.000
2005-03-01,193.900
2005-04-01,194.300
2005-05-01,194.600
2005-06-01,194.600
2005-07-01,195.400
2005-08-01,195.900
2005-09-01,196.800
2005-10-01,198.700
2005-11-01,199.500
2005-12-01,199.600
2006-01-01,200.500
2006-02-01,200.800
2006-03-01,201.200
2006-04-01,201.600
2006-05-01,202.300
2006-06-01,202.800
2006-07-01,203.400
2006-08-01,204.100
2006-09-01,204.700
2006-10-01,204.800
2006-11-01,205.500
2006-12-01,206.200
2007-01-01,206.788
2007-02-01,207.536
2007-03-01,208.119
2007-04-01,208.518
2007-05-01,208.883
2007-06-01,209.561
2007-07-01,209.743
2007-08-01,210.004
2007-09-01,210.500
2007-10-01,211.057
2007-11-01,211.864
2007-12-01,212.418
2008-01-01,212.873
2008-02-01,213.377
2008-03-01,214.422
2008-04-01,214.997
2008-05-01,215.866
2008-06-01,216.864
2008-07-01,218.014
2008-08-01,218.053
2008-09-01,217.836
2008-10-01,217.705
2008-11-01,217.585
2008-12-01,217.469
2009-01-01,217.631
2009-02-01,217.563
2009-03-01,217.458
2009-04-01,217.304
2009-05-01,216.990
2009-06-01,216.955
2009-07-01,216.581
2009-08-01,216.729
2009-09-01,216.680
2009-10-01,216.942
2009-11-01,216.962
2009-12-01,216.899
2010-01-01,216.206
2010-02-01,216.042
2010-03-01,216.146
2010-04-01,216.092
2010-05-01,216.128
2010-06-01,216.060
2010-07-01,216.214
2010-08-01,216.254
2010-09-01,216.234
2010-10-01,216.359
2010-11-01,216.484
2010-12-01,216.823
2011-01-01,217.061
2011-02-01,217.443
2011-03-01,217.794
2011-04-01,218.186
2011-05-01,218.521
2011-06-01,218.808
2011-07-01,219.386
2011-08-01,219.802
2011-09-01,220.152
2011-10-01,220.447
2011-11-01,220.685
2011-12-01,220.966
2012-01-01,221.096
2012-02-01,221.299
2012-03-01,221.579
2012-04-01,221.992
2012-05-01,222.069
2012-06-01,222.319
2012-07-01,222.508
2012-08-01,223.031
2012-09-01,223.463
2012-10-01,223.949
2012-11-01,224.504
2012-12-01,224.757
2013-01-01,225.106
2013-02-01,225.580
2013-03-01,225.769
2013-04-01,226.299
2013-05-01,226.949
2013-06-01,227.324
2013-07-01,227.579
2013-08-01,227.911
2013-09-01,228.354
2013-10-01,228.584
2013-11-01,229.119
2013-12-01,229.623
2014-01-01,230.520
2014-02-01,231.084
2014-03-01,232.119
2014-04-01,232.014
2014-05-01,232.785
2014-06-01,233.117
2014-07-01,233.695
2014-08-01,233.928
2014-09-01,234.234
2014-10-01,234.656
2014-11-01,235.000
2014-12-01,235.425
2015-01-01,235.735
2015-02-01,236.200
2015-03-01,236.602
2015-04-01,237.086
2015-05-01,237.210
2015-06-01,237.804
2015-07-01,238.334
2015-08-01,238.700
2015-09-01,239.236
2015-10-01,239.593
2015-11-01,240.001
2015-12-01,240.224
2016-01-01,240.673
2016-02-01,241.124
2016-03-01,241.587
2016-04-01,242.071
2016-05-01,242.833
2016-06-01,243.515
2016-07-01,244.224
2016-08-01,244.911
2016-09-01,245.755
2016-10-01,246.480
2016-11-01,246.985
2016-12-01,247.543
2017-01-01,248.164
2017-02-01,248.807
2017-03-01,249.098
2017-04-01,249.800
2017-05-01,250.408
2017-06-01,250.933
2017-07-01,251.210
2017-08-01,252.086
2017-09-01,252.603
2017-10-01,253.292
2017-11-01,253.798
2017-12-01,254.575
2018-01-01,255.098
2018-02-01,255.798
2018-03-01,256.469
2018-04-01,257.174
2018-05-01,257.876
2018-06-01,258.034
2018-07-01,258.615
2018-08-01,259.405
2018-09-01,259.628
2018-10-01,260.436
2018-11-01,261.085
2018-12-01,262.113
2019-01-01,262.525
2019-02-01,263.131
2019-03-01,263.955
2019-04-01,264.605
2019-05-01,265.111
2019-06-01,265.823
2019-07-01,266.440
2019-08-01,266.809
2019-09-01,267.555
2019-10-01,267.950
2019-11-01,268.488
2019-12-01,268.938
2020-01-01,269.752
2020-02-01,270.354
2020-03-01,270.345
2020-04-01,270.303
2020-05-01,270.825
2020-06-01,271.256
2020-07-01,271.835
2020-08-01,272.479
2020-09-01,272.897
2020-10-01,273.127
2020-11-01,273.780
2020-12-01,274.336
2021-01-01,274.582
2021-02-01,275.181
2021-03-01,276.125
2021-04-01,277.364
2021-05-01,278.650
2021-06-01,279.750
2021-07-01,280.900
2021-08-01,281.979
2021-09-01,283.532
2021-10-01,285.453
2021-11-01,286.849
2021-12-01,288.259
2022-01-01,290.151
2022-02-01,291.549
2022-03-01,293.668
2022-04-01,295.376
2022-05-01,297.881
2022-06-01,300.290
2022-07-01,301.639
2022-08-01,304.109
