DATE,CPIFABSL
1984-07-01,103.200
1984-08-01,103.800
1984-09-01,103.700
1984-10-01,103.900
1984-11-01,104.000
1984-12-01,104.400
1985-01-01,104.500
1985-02-01,105.000
1985-03-01,105.400
1985-04-01,105.300
1985-05-01,105.100
1985-06-01,105.400
1985-07-01,105.400
1985-08-01,105.500
1985-09-01,105.700
1985-10-01,105.900
1985-11-01,106.500
1985-12-01,107.300
1986-01-01,107.500
1986-02-01,107.400
1986-03-01,107.600
1986-04-01,107.800
1986-05-01,108.200
1986-06-01,108.300
1986-07-01,109.100
1986-08-01,110.000
1986-09-01,110.100
1986-10-01,110.400
1986-11-01,111.000
1986-12-01,111.300
1987-01-01,111.900
1987-02-01,112.200
1987-03-01,112.400
1987-04-01,112.600
1987-05-01,113.200
1987-06-01,113.800
1987-07-01,113.700
1987-08-01,113.900
1987-09-01,114.400
1987-10-01,114.600
1987-11-01,114.700
1987-12-01,115.200
1988-01-01,115.600
1988-02-01,115.700
1988-03-01,115.900
1988-04-01,116.500
1988-05-01,116.900
1988-06-01,117.600
1988-07-01,118.800
1988-08-01,119.400
1988-09-01,120.000
1988-10-01,120.300
1988-11-01,120.500
1988-12-01,121.000
1989-01-01,121.500
1989-02-01,122.300
1989-03-01,123.100
1989-04-01,123.700
1989-05-01,124.600
1989-06-01,124.900
1989-07-01,125.400
1989-08-01,125.700
1989-09-01,126.100
1989-10-01,126.700
1989-11-01,127.200
1989-12-01,127.700
1990-01-01,129.400
1990-02-01,130.500
1990-03-01,130.700
1990-04-01,130.600
1990-05-01,130.900
1990-06-01,131.800
1990-07-01,132.500
1990-08-01,132.900
1990-09-01,133.300
1990-10-01,133.800
1990-11-01,134.200
1990-12-01,134.300
1991-01-01,135.200
1991-02-01,135.700
1991-03-01,135.900
1991-04-01,136.600
1991-05-01,137.100
1991-06-01,137.800
1991-07-01,137.200
1991-08-01,136.800
1991-09-01,137.000
1991-10-01,136.900
1991-11-01,137.400
1991-12-01,137.600
1992-01-01,137.300
1992-02-01,137.800
1992-03-01,138.300
1992-04-01,138.200
1992-05-01,138.100
1992-06-01,138.400
1992-07-01,138.300
1992-08-01,139.100
1992-09-01,139.700
1992-10-01,139.700
1992-11-01,139.600
1992-12-01,139.600
1993-01-01,140.000
1993-02-01,140.400
1993-03-01,140.400
1993-04-01,140.800
1993-05-01,141.700
1993-06-01,141.400
1993-07-01,141.400
1993-08-01,141.900
1993-09-01,142.100
1993-10-01,142.700
1993-11-01,143.000
1993-12-01,143.500
1994-01-01,143.600
1994-02-01,143.400
1994-03-01,143.400
1994-04-01,143.700
1994-05-01,144.000
1994-06-01,144.400
1994-07-01,145.200
1994-08-01,145.600
1994-09-01,145.800
1994-10-01,145.800
1994-11-01,146.200
1994-12-01,147.200
1995-01-01,147.200
1995-02-01,147.700
1995-03-01,147.500
1995-04-01,148.500
1995-05-01,148.700
1995-06-01,148.800
1995-07-01,149.000
1995-08-01,149.100
1995-09-01,149.600
1995-10-01,150.000
1995-11-01,150.000
1995-12-01,150.300
1996-01-01,150.800
1996-02-01,151.200
1996-03-01,151.900
1996-04-01,152.500
1996-05-01,152.400
1996-06-01,153.300
1996-07-01,153.800
1996-08-01,154.300
1996-09-01,155.000
1996-10-01,155.900
1996-11-01,156.400
1996-12-01,156.600
1997-01-01,156.300
1997-02-01,156.900
1997-03-01,157.000
1997-04-01,157.000
1997-05-01,157.100
1997-06-01,157.400
1997-07-01,157.700
1997-08-01,158.200
1997-09-01,158.400
1997-10-01,158.700
1997-11-01,159.000
1997-12-01,159.200
1998-01-01,159.900
1998-02-01,159.900
1998-03-01,160.100
1998-04-01,160.200
1998-05-01,160.700
1998-06-01,160.600
1998-07-01,161.000
1998-08-01,161.400
1998-09-01,161.500
1998-10-01,162.400
1998-11-01,162.700
1998-12-01,162.800
1999-01-01,163.400
1999-02-01,163.800
1999-03-01,163.700
1999-04-01,163.900
1999-05-01,164.200
1999-06-01,164.100
1999-07-01,164.400
1999-08-01,164.700
1999-09-01,165.100
1999-10-01,165.500
1999-11-01,165.800
1999-12-01,166.000
2000-01-01,166.100
2000-02-01,166.700
2000-03-01,167.100
2000-04-01,167.200
2000-05-01,167.800
2000-06-01,168.000
2000-07-01,168.800
2000-08-01,169.300
2000-09-01,169.400
2000-10-01,169.600
2000-11-01,169.700
2000-12-01,170.500
2001-01-01,170.900
2001-02-01,171.700
2001-03-01,172.200
2001-04-01,172.600
2001-05-01,172.900
2001-06-01,173.500
2001-07-01,174.100
2001-08-01,174.500
2001-09-01,174.700
2001-10-01,175.300
2001-11-01,175.400
2001-12-01,175.200
2002-01-01,175.800
2002-02-01,176.200
2002-03-01,176.600
2002-04-01,176.900
2002-05-01,176.400
2002-06-01,176.500
2002-07-01,176.700
2002-08-01,176.700
2002-09-01,177.000
2002-10-01,177.000
2002-11-01,177.500
2002-12-01,177.700
2003-01-01,177.700
2003-02-01,178.700
2003-03-01,179.000
2003-04-01,179.100
2003-05-01,179.400
2003-06-01,180.300
2003-07-01,180.400
2003-08-01,181.100
2003-09-01,181.500
2003-10-01,182.200
2003-11-01,183.100
2003-12-01,184.000
2004-01-01,183.900
2004-02-01,184.300
2004-03-01,184.700
2004-04-01,185.100
2004-05-01,186.500
2004-06-01,186.900
2004-07-01,187.300
2004-08-01,187.500
2004-09-01,187.400
2004-10-01,188.300
2004-11-01,188.900
2004-12-01,188.900
2005-01-01,189.100
2005-02-01,189.200
2005-03-01,189.600
2005-04-01,190.800
2005-05-01,191.000
2005-06-01,191.000
2005-07-01,191.400
2005-08-01,191.500
2005-09-01,191.900
2005-10-01,192.400
2005-11-01,193.000
2005-12-01,193.300
2006-01-01,194.100
2006-02-01,194.200
2006-03-01,194.400
2006-04-01,194.300
2006-05-01,194.700
2006-06-01,195.300
2006-07-01,195.700
2006-08-01,196.200
2006-09-01,196.800
2006-10-01,197.400
2006-11-01,197.400
2006-12-01,197.500
2007-01-01,198.813
2007-02-01,200.126
2007-03-01,200.853
2007-04-01,201.392
2007-05-01,202.157
2007-06-01,202.977
2007-07-01,203.640
2007-08-01,204.418
2007-09-01,205.347
2007-10-01,205.988
2007-11-01,206.789
2007-12-01,207.141
2008-01-01,208.392
2008-02-01,209.183
2008-03-01,209.595
2008-04-01,211.368
2008-05-01,212.204
2008-06-01,213.452
2008-07-01,215.449
2008-08-01,216.530
2008-09-01,217.749
2008-10-01,218.632
2008-11-01,219.079
2008-12-01,219.151
2009-01-01,219.323
2009-02-01,219.058
2009-03-01,218.682
2009-04-01,218.372
2009-05-01,218.053
2009-06-01,218.092
2009-07-01,217.725
2009-08-01,217.738
2009-09-01,217.664
2009-10-01,217.881
2009-11-01,218.055
2009-12-01,218.341
2010-01-01,218.855
2010-02-01,218.898
2010-03-01,219.321
2010-04-01,219.531
2010-05-01,219.651
2010-06-01,219.627
2010-07-01,219.643
2010-08-01,219.879
2010-09-01,220.598
2010-10-01,220.911
2010-11-01,221.315
2010-12-01,221.556
2011-01-01,222.735
2011-02-01,223.734
2011-03-01,225.337
2011-04-01,226.180
2011-05-01,227.045
2011-06-01,227.603
2011-07-01,228.473
2011-08-01,229.577
2011-09-01,230.561
2011-10-01,230.776
2011-11-01,230.976
2011-12-01,231.392
2012-01-01,232.131
2012-02-01,232.103
2012-03-01,232.502
2012-04-01,232.934
2012-05-01,233.127
2012-06-01,233.624
2012-07-01,233.752
2012-08-01,234.108
2012-09-01,234.286
2012-10-01,234.694
2012-11-01,235.100
2012-12-01,235.521
2013-01-01,235.860
2013-02-01,235.903
2013-03-01,236.130
2013-04-01,236.574
2013-05-01,236.387
2013-06-01,236.912
2013-07-01,237.133
2013-08-01,237.407
2013-09-01,237.464
2013-10-01,237.693
2013-11-01,237.895
2013-12-01,238.133
2014-01-01,238.417
2014-02-01,239.247
2014-03-01,240.240
2014-04-01,240.995
2014-05-01,242.107
2014-06-01,242.345
2014-07-01,242.883
2014-08-01,243.505
2014-09-01,244.148
2014-10-01,244.500
2014-11-01,245.106
2014-12-01,245.840
2015-01-01,245.764
2015-02-01,246.056
2015-03-01,245.685
2015-04-01,245.615
2015-05-01,245.886
2015-06-01,246.511
2015-07-01,246.733
2015-08-01,247.295
2015-09-01,247.984
2015-10-01,248.288
2015-11-01,248.075
2015-12-01,247.761
2016-01-01,247.967
2016-02-01,248.244
2016-03-01,247.699
2016-04-01,247.906
2016-05-01,247.575
2016-06-01,247.420
2016-07-01,247.406
2016-08-01,247.479
2016-09-01,247.528
2016-10-01,247.596
2016-11-01,247.525
2016-12-01,247.530
2017-01-01,247.900
2017-02-01,248.513
2017-03-01,249.020
2017-04-01,249.381
2017-05-01,249.711
2017-06-01,249.519
2017-07-01,249.937
2017-08-01,250.210
2017-09-01,250.587
2017-10-01,250.816
2017-11-01,250.996
2017-12-01,251.490
2018-01-01,251.999
2018-02-01,252.029
2018-03-01,252.198
2018-04-01,252.802
2018-05-01,252.776
2018-06-01,253.078
2018-07-01,253.444
2018-08-01,253.760
2018-09-01,254.084
2018-10-01,253.924
2018-11-01,254.606
2018-12-01,255.475
2019-01-01,256.146
2019-02-01,256.978
2019-03-01,257.435
2019-04-01,257.161
2019-05-01,257.701
2019-06-01,257.766
2019-07-01,257.928
2019-08-01,258.098
2019-09-01,258.590
2019-10-01,259.025
2019-11-01,259.485
2019-12-01,259.845
2020-01-01,260.671
2020-02-01,261.492
2020-03-01,262.323
2020-04-01,265.882
2020-05-01,267.693
2020-06-01,268.950
2020-07-01,267.977
2020-08-01,268.289
2020-09-01,268.428
2020-10-01,268.904
2020-11-01,268.999
2020-12-01,269.820
2021-01-01,270.347
2021-02-01,270.705
2021-03-01,271.160
2021-04-01,272.101
2021-05-01,273.338
2021-06-01,275.251
2021-07-01,276.992
2021-08-01,278.062
2021-09-01,280.413
2021-10-01,282.661
2021-11-01,284.676
2021-12-01,286.018
2022-01-01,288.436
2022-02-01,291.325
2022-03-01,294.119
2022-04-01,296.585
2022-05-01,299.941
2022-06-01,302.805
2022-07-01,306.023
2022-08-01,308.369
